"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
204800         , 1843200       , 1                  , 1                 , 10               , 7.7788562         
204800         , 1843200       , 1                  , 4                 , 10               , 11.3313632        
204800         , 1843200       , 1                  , 100               , 10               , 11.3313632        
204800         , 2048000       , 0                  , 4                 , 9.09090909090909 , 42.938434         
204800         , 2048000       , 1                  , 1                 , 9.09090909090909 , 7.3354252         
204800         , 2048000       , 1                  , 4                 , 9.09090909090909 , 11.6681318        
204800         , 2048000       , 1                  , 100               , 9.09090909090909 , 11.6681318        
204800         , 2252800       , 0                  , 4                 , 8.33333333333333 , 41.6691312        
204800         , 2252800       , 1                  , 1                 , 8.33333333333333 , 6.4861926         
204800         , 2252800       , 1                  , 4                 , 8.33333333333333 , 9.6398798         
204800         , 2252800       , 1                  , 100               , 8.33333333333333 , 9.6398798         
524288         , 0             , 0                  , 4                 , 100              , 96.8069258        
524288         , 0             , 1                  , 1                 , 100              , 95.9549466        
524288         , 0             , 1                  , 4                 , 100              , 95.9466086        
524288         , 0             , 1                  , 100               , 100              , 95.9466086        
524288         , 8192          , 0                  , 4                 , 98.4615384615385 , 48.7423688        
524288         , 8192          , 1                  , 1                 , 98.4615384615385 , 71.0393232        
524288         , 8192          , 1                  , 4                 , 98.4615384615385 , 70.6140892        
524288         , 8192          , 1                  , 100               , 98.4615384615385 , 70.6140892        
524288         , 16384         , 0                  , 4                 , 96.969696969697  , 93.5032096        
524288         , 16384         , 1                  , 1                 , 96.969696969697  , 93.0550592        
524288         , 16384         , 1                  , 4                 , 96.969696969697  , 92.8934878        
524288         , 16384         , 1                  , 100               , 96.969696969697  , 92.8934878        
524288         , 32768         , 0                  , 4                 , 94.1176470588235 , 89.5244234        
524288         , 32768         , 1                  , 1                 , 94.1176470588235 , 90.226555         
524288         , 32768         , 1                  , 4                 , 94.1176470588235 , 89.6019616        
524288         , 32768         , 1                  , 100               , 94.1176470588235 , 89.6019616        
524288         , 65536         , 0                  , 4                 , 88.8888888888889 , 68.8399988        
524288         , 65536         , 1                  , 1                 , 88.8888888888889 , 76.6175008        
524288         , 65536         , 1                  , 4                 , 88.8888888888889 , 77.5897936        
524288         , 65536         , 1                  , 100               , 88.8888888888889 , 77.5897936        
524288         , 131072        , 0                  , 4                 , 80               , 50.494866         
524288         , 131072        , 1                  , 1                 , 80               , 68.0284706        
524288         , 131072        , 1                  , 4                 , 80               , 71.0475222        
524288         , 131072        , 1                  , 100               , 80               , 71.0475222        
524288         , 262144        , 0                  , 4                 , 66.6666666666667 , 41.7283762        
524288         , 262144        , 1                  , 1                 , 66.6666666666667 , 39.9470708        
